city,avg_temp
Abidjan,25.58
Abidjan,25.52
Abidjan,25.67
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,26.28
Abidjan,25.17
Abidjan,25.49
Abidjan,25.92
Abidjan,25.46
Abidjan,25.67
Abidjan,25.17
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,
Abidjan,25.62
Abidjan,25.68
Abidjan,25.25
Abidjan,25.14
Abidjan,25.85
Abidjan,25.87
Abidjan,25.38
Abidjan,25.96
Abidjan,26.07
Abidjan,25.69
Abidjan,26.13
Abidjan,26.37
Abidjan,26.07
Abidjan,25.47
Abidjan,24.91
Abidjan,24.95
Abidjan,25.12
Abidjan,24.86
Abidjan,25.11
Abidjan,25.17
Abidjan,25.33
Abidjan,25.04
Abidjan,25.37
Abidjan,25.33
Abidjan,25.64
Abidjan,25.47
Abidjan,26.46
Abidjan,26.12
Abidjan,25.92
Abidjan,25.59
Abidjan,25.48
Abidjan,25.24
Abidjan,25.78
Abidjan,26.08
Abidjan,25.69
Abidjan,25.80
Abidjan,25.57
Abidjan,25.70
Abidjan,25.41
Abidjan,26.42
Abidjan,26.33
Abidjan,26.28
Abidjan,26.29
Abidjan,26.13
Abidjan,26.47
Abidjan,25.93
Abidjan,26.19
Abidjan,26.32
Abidjan,26.42
Abidjan,26.23
Abidjan,25.96
Abidjan,26.09
Abidjan,26.09
Abidjan,26.79
Abidjan,26.23
Abidjan,26.16
Abidjan,26.50
Abidjan,26.39
Abidjan,26.44
Abidjan,25.81
Abidjan,26.55
Abidjan,26.38
Abidjan,26.15
Abidjan,25.88
Abidjan,26.54
Abidjan,26.53
Abidjan,25.84
Abidjan,26.61
Abidjan,26.77
Abidjan,26.34
Abidjan,26.06
Abidjan,26.56
Abidjan,26.52
Abidjan,26.25
Abidjan,26.37
Abidjan,26.15
Abidjan,26.51
Abidjan,26.20
Abidjan,26.32
Abidjan,26.28
Abidjan,26.24
Abidjan,26.01
Abidjan,26.03
Abidjan,25.90
Abidjan,26.28
Abidjan,26.19
Abidjan,26.39
Abidjan,26.36
Abidjan,26.25
Abidjan,26.19
Abidjan,26.55
Abidjan,25.96
Abidjan,25.97
Abidjan,26.45
Abidjan,26.05
Abidjan,26.29
Abidjan,26.55
Abidjan,26.51
Abidjan,26.10
Abidjan,26.28
Abidjan,26.80
Abidjan,26.21
Abidjan,26.12
Abidjan,25.84
Abidjan,26.40
Abidjan,26.16
Abidjan,26.67
Abidjan,26.47
Abidjan,26.43
Abidjan,26.17
Abidjan,26.66
Abidjan,26.64
Abidjan,26.30
Abidjan,26.35
Abidjan,27.26
Abidjan,26.78
Abidjan,26.65
Abidjan,26.60
Abidjan,26.52
Abidjan,26.36
Abidjan,26.56
Abidjan,26.57
Abidjan,26.87
Abidjan,26.58
Abidjan,26.54
Abidjan,27.16
Abidjan,26.70
Abidjan,26.75
Abidjan,26.69
Abidjan,26.84
Abidjan,27.05
Abidjan,26.99
Abidjan,26.98
Abidjan,26.99
Abidjan,27.01
Abidjan,26.94
Abidjan,26.98
Abidjan,27.45
Abidjan,27.02
Abidjan,26.77
Abidjan,27.23
Abu Dhabi,26.04
Abu Dhabi,26.26
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,25.83
Abu Dhabi,26.01
Abu Dhabi,25.69
Abu Dhabi,26.25
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,
Abu Dhabi,25.10
Abu Dhabi,25.34
Abu Dhabi,23.62
Abu Dhabi,26.00
Abu Dhabi,26.26
Abu Dhabi,26.09
Abu Dhabi,26.44
Abu Dhabi,26.33
Abu Dhabi,26.51
Abu Dhabi,26.24
Abu Dhabi,26.17
Abu Dhabi,26.16
Abu Dhabi,26.42
Abu Dhabi,26.30
Abu Dhabi,26.13
Abu Dhabi,26.19
Abu Dhabi,26.59
Abu Dhabi,26.59
Abu Dhabi,26.09
Abu Dhabi,26.20
Abu Dhabi,26.75
Abu Dhabi,26.05
Abu Dhabi,26.30
Abu Dhabi,26.15
Abu Dhabi,26.10
Abu Dhabi,26.38
Abu Dhabi,26.08
Abu Dhabi,26.30
Abu Dhabi,26.61
Abu Dhabi,26.20
Abu Dhabi,26.43
Abu Dhabi,26.55
Abu Dhabi,26.36
Abu Dhabi,26.24
Abu Dhabi,25.98
Abu Dhabi,26.36
Abu Dhabi,26.29
Abu Dhabi,25.92
Abu Dhabi,26.57
Abu Dhabi,26.43
Abu Dhabi,26.53
Abu Dhabi,26.81
Abu Dhabi,25.88
Abu Dhabi,26.49
Abu Dhabi,26.30
Abu Dhabi,26.24
Abu Dhabi,26.17
Abu Dhabi,26.34
Abu Dhabi,26.57
Abu Dhabi,25.89
Abu Dhabi,25.62
Abu Dhabi,26.35
Abu Dhabi,26.45
Abu Dhabi,26.56
Abu Dhabi,26.90
Abu Dhabi,25.90
Abu Dhabi,26.04
Abu Dhabi,26.03
Abu Dhabi,26.24
Abu Dhabi,26.20
Abu Dhabi,26.06
Abu Dhabi,26.77
Abu Dhabi,26.32
Abu Dhabi,27.03
Abu Dhabi,26.26
Abu Dhabi,26.65
Abu Dhabi,26.35
Abu Dhabi,26.34
Abu Dhabi,26.60
Abu Dhabi,26.38
Abu Dhabi,26.54
Abu Dhabi,26.23
Abu Dhabi,26.06
Abu Dhabi,26.17
Abu Dhabi,26.44
Abu Dhabi,26.24
Abu Dhabi,26.22
Abu Dhabi,26.29
Abu Dhabi,26.13
Abu Dhabi,26.49
Abu Dhabi,26.88
Abu Dhabi,26.87
Abu Dhabi,26.42
Abu Dhabi,26.89
Abu Dhabi,26.45
Abu Dhabi,26.60
Abu Dhabi,26.85
Abu Dhabi,26.69
Abu Dhabi,26.29
Abu Dhabi,25.97
Abu Dhabi,26.69
Abu Dhabi,26.68
Abu Dhabi,26.89
Abu Dhabi,26.89
Abu Dhabi,26.62
Abu Dhabi,26.56
Abu Dhabi,26.26
Abu Dhabi,26.89
Abu Dhabi,26.43
Abu Dhabi,26.66
Abu Dhabi,26.57
Abu Dhabi,26.75
Abu Dhabi,26.61
Abu Dhabi,25.89
Abu Dhabi,26.63
Abu Dhabi,26.76
Abu Dhabi,26.47
Abu Dhabi,26.20
Abu Dhabi,27.09
Abu Dhabi,27.24
Abu Dhabi,26.47
Abu Dhabi,26.16
Abu Dhabi,26.54
Abu Dhabi,26.46
Abu Dhabi,26.49
Abu Dhabi,26.43
Abu Dhabi,27.43
Abu Dhabi,26.89
Abu Dhabi,26.96
Abu Dhabi,27.16
Abu Dhabi,26.93
Abu Dhabi,26.16
Abu Dhabi,26.19
Abu Dhabi,26.29
Abu Dhabi,26.63
Abu Dhabi,26.70
Abu Dhabi,26.91
Abu Dhabi,26.95
Abu Dhabi,26.38
Abu Dhabi,27.11
Abu Dhabi,26.46
Abu Dhabi,26.10
Abu Dhabi,27.02
Abu Dhabi,27.25
Abu Dhabi,26.75
Abu Dhabi,27.20
Abu Dhabi,26.87
Abu Dhabi,28.19
Abu Dhabi,28.16
Abu Dhabi,27.67
Abu Dhabi,27.82
Abu Dhabi,28.00
Abu Dhabi,28.12
Abu Dhabi,28.07
Abu Dhabi,27.90
Abu Dhabi,27.94
Abu Dhabi,28.08
Abu Dhabi,27.59
Abu Dhabi,28.04
Abu Dhabi,28.69
Abu Dhabi,28.25
Abu Dhabi,28.46
Abu Dhabi,28.01
Abuja,26.93
Abuja,24.67
Abuja,25.87
Abuja,25.31
Abuja,25.52
Abuja,25.56
Abuja,26.94
Abuja,
Abuja,
Abuja,
Abuja,
Abuja,
Abuja,
Abuja,
Abuja,
Abuja,
Abuja,
Abuja,25.77
Abuja,25.80
Abuja,25.42
Abuja,25.72
Abuja,25.97
Abuja,25.98
Abuja,25.36
Abuja,25.60
Abuja,25.93
Abuja,25.58
Abuja,25.90
Abuja,26.07
Abuja,24.84
Abuja,25.38
Abuja,24.82
Abuja,25.15
Abuja,25.21
Abuja,24.48
Abuja,25.02
Abuja,25.21
Abuja,25.21
Abuja,25.38
Abuja,25.58
Abuja,25.46
Abuja,25.93
Abuja,25.43
Abuja,25.83
Abuja,25.95
Abuja,25.84
Abuja,25.52
Abuja,25.50
Abuja,25.07
Abuja,25.40
Abuja,25.63
Abuja,25.35
Abuja,25.63
Abuja,25.86
Abuja,25.78
Abuja,25.53
Abuja,25.65
Abuja,26.21
Abuja,26.37
Abuja,26.12
Abuja,25.92
Abuja,26.64
Abuja,25.93
Abuja,26.50
Abuja,25.94
Abuja,26.31
Abuja,26.36
Abuja,26.11
Abuja,26.41
Abuja,25.79
Abuja,26.48
Abuja,26.36
Abuja,26.33
Abuja,26.09
Abuja,26.48
Abuja,26.82
Abuja,26.25
Abuja,26.50
Abuja,26.31
Abuja,26.47
Abuja,26.37
Abuja,26.44
Abuja,26.63
Abuja,26.08
Abuja,26.45
Abuja,26.99
Abuja,26.76
Abuja,26.28
Abuja,26.48
Abuja,26.34
Abuja,26.26
Abuja,26.60
Abuja,26.04
Abuja,26.45
Abuja,26.21
Abuja,26.20
Abuja,26.09
Abuja,26.23
Abuja,25.95
Abuja,25.91
Abuja,25.93
Abuja,26.12
Abuja,26.37
Abuja,26.31
Abuja,26.19
Abuja,25.93
Abuja,26.05
Abuja,26.49
Abuja,26.08
Abuja,26.19
Abuja,26.22
Abuja,26.01
Abuja,26.29
Abuja,26.47
Abuja,26.41
Abuja,26.27
Abuja,26.09
Abuja,26.78
Abuja,26.03
Abuja,25.89
Abuja,26.17
Abuja,26.43
Abuja,26.14
Abuja,26.46
Abuja,26.41
Abuja,26.20
Abuja,26.28
Abuja,26.49
Abuja,26.41
Abuja,26.32
Abuja,26.38
Abuja,27.06
Abuja,26.49
Abuja,25.82
Abuja,26.74
Abuja,26.39
Abuja,26.08
Abuja,26.44
Abuja,26.18
Abuja,26.62
Abuja,26.58
Abuja,26.48
Abuja,27.04
Abuja,26.85
Abuja,26.32
Abuja,26.58
Abuja,26.95
Abuja,26.84
Abuja,26.95
Abuja,27.09
Abuja,27.24
Abuja,27.20
Abuja,26.75
Abuja,27.19
Abuja,27.35
Abuja,27.09
Abuja,26.93
Abuja,27.25
Accra,25.70
Accra,25.61
Accra,25.81
Accra,
Accra,
Accra,
Accra,
Accra,26.26
Accra,25.29
Accra,25.61
Accra,26.01
Accra,25.64
Accra,25.75
Accra,26.24
Accra,
Accra,
Accra,
Accra,
Accra,
Accra,
Accra,
Accra,
Accra,
Accra,
Accra,25.86
Accra,25.83
Accra,25.46
Accra,25.32
Accra,26.02
Accra,25.99
Accra,25.45
Accra,25.97
Accra,26.16
Accra,25.77
Accra,26.19
Accra,26.29
Accra,26.25
Accra,25.61
Accra,24.88
Accra,24.93
Accra,25.33
Accra,24.81
Accra,25.08
Accra,25.13
Accra,25.41
Accra,25.03
Accra,25.63
Accra,25.46
Accra,25.80
Accra,25.42
Accra,26.32
Accra,26.31
Accra,26.06
Accra,25.69
Accra,25.39
Accra,25.46
Accra,25.93
Accra,25.97
Accra,25.75
Accra,26.06
Accra,25.56
Accra,25.55
Accra,25.61
Accra,26.12
Accra,26.40
Accra,26.41
Accra,26.48
Accra,26.48
Accra,26.95
Accra,26.27
Accra,26.12
Accra,26.54
Accra,26.61
Accra,26.50
Accra,26.23
Accra,26.52
Accra,26.26
Accra,26.73
Accra,26.47
Accra,26.45
Accra,26.34
Accra,26.69
Accra,26.57
Accra,26.06
Accra,26.62
Accra,26.58
Accra,26.49
Accra,26.20
Accra,26.62
Accra,26.57
Accra,26.14
Accra,26.61
Accra,26.99
Accra,26.64
Accra,26.19
Accra,26.84
Accra,26.83
Accra,26.36
Accra,26.63
Accra,26.34
Accra,26.70
Accra,26.15
Accra,26.55
Accra,26.33
Accra,26.34
Accra,26.01
Accra,26.12
Accra,26.00
Accra,26.35
Accra,26.35
Accra,26.51
Accra,26.52
Accra,26.26
Accra,26.23
Accra,26.61
Accra,26.10
Accra,26.22
Accra,26.60
Accra,26.19
Accra,26.38
Accra,26.72
Accra,26.68
Accra,26.25
Accra,26.52
Accra,26.94
Accra,26.29
Accra,26.08
Accra,25.95
Accra,26.61
Accra,26.37
Accra,26.78
Accra,26.59
Accra,26.55
Accra,26.39
Accra,26.76
Accra,26.77
Accra,26.46
Accra,26.50
Accra,27.44
Accra,26.85
Accra,26.61
Accra,26.73
Accra,26.60
Accra,26.47
Accra,26.67
Accra,26.62
Accra,26.87
Accra,26.61
Accra,26.58
Accra,27.28
Accra,26.74
Accra,26.83
Accra,26.76
Accra,26.92
Accra,27.14
Accra,27.02
Accra,27.06
Accra,27.10
Accra,27.16
Accra,26.98
Accra,27.14
Accra,27.57
Accra,27.11
Accra,26.86
Accra,27.24
Adana,21.62
Adana,18.57
Adana,18.44
Adana,18.82
Adana,18.68
Adana,18.75
Adana,19.07
Adana,19.11
Adana,18.86
Adana,18.88
Adana,19.32
Adana,19.46
Adana,19.32
Adana,19.05
Adana,18.73
Adana,18.95
Adana,17.22
Adana,18.11
Adana,17.38
Adana,17.49
Adana,17.51
Adana,17.41
Adana,17.88
Adana,18.07
Adana,17.70
Adana,17.33
Adana,17.57
Adana,18.34
Adana,17.94
Adana,18.03
Adana,18.07
Adana,17.85
Adana,18.38
Adana,19.24
Adana,18.30
Adana,18.23
Adana,19.28
Adana,18.32
Adana,18.31
Adana,18.63
Adana,18.00
Adana,17.14
Adana,18.22
Adana,18.06
Adana,17.67
Adana,18.15
Adana,17.76
Adana,17.53
Adana,17.81
Adana,17.75
Adana,18.44
Adana,18.28
Adana,18.28
Adana,18.10
Adana,18.44
Adana,18.94
Adana,18.57
Adana,18.57
Adana,18.47
Adana,17.92
Adana,18.93
Adana,18.51
Adana,19.25
Adana,18.08
Adana,18.70
Adana,18.13
Adana,17.64
Adana,18.24
Adana,18.49
Adana,19.03
Adana,17.50
Adana,17.54
Adana,17.97
Adana,18.46
Adana,18.76
Adana,18.63
Adana,18.51
Adana,18.22
Adana,18.85
Adana,18.69
Adana,18.32
Adana,19.04
Adana,19.16
Adana,18.34
Adana,17.66
Adana,18.87
Adana,19.10
Adana,19.11
Adana,19.46
Adana,17.69
Adana,18.43
Adana,17.89
Adana,18.51
Adana,18.00
Adana,18.94
Adana,18.44
Adana,18.86
Adana,18.56
Adana,18.83
Adana,18.58
Adana,18.55
Adana,18.90
Adana,18.24
Adana,17.91
Adana,18.47
Adana,18.18
Adana,17.98
Adana,18.33
Adana,18.61
Adana,18.97
Adana,19.55
Adana,18.90
Adana,18.42
Adana,18.31
Adana,18.28
Adana,18.34
Adana,17.82
Adana,17.96
Adana,19.03
Adana,18.23
Adana,17.49
Adana,18.58
Adana,17.91
Adana,18.16
Adana,18.98
Adana,19.31
Adana,19.15
Adana,18.64
Adana,18.96
Adana,17.68
Adana,17.98
Adana,19.10
Adana,19.16
Adana,18.90
Adana,18.76
Adana,19.10
Adana,19.32
Adana,19.07
Adana,18.76
Adana,19.48
Adana,18.98
Adana,18.87
Adana,18.13
Adana,19.00
Adana,19.36
Adana,19.05
Adana,19.52
Adana,18.74
Adana,19.20
Adana,19.06
Adana,19.03
Adana,18.85
Adana,18.66
Adana,18.93
Adana,18.52
Adana,19.16
Adana,19.86
Adana,18.41
Adana,18.11
Adana,18.58
Adana,19.15
Adana,19.38
Adana,18.14
Adana,19.29
Adana,19.85
Adana,18.55
Adana,19.11
Adana,19.34
Adana,18.40
Adana,19.90
Adana,18.99
Adana,20.06
Adana,19.46
Adana,18.47
Adana,18.80
Adana,19.94
Adana,18.26
Adana,19.12
Adana,19.22
Adana,19.48
Adana,18.94
Adana,18.38
Adana,18.94
Adana,18.98
Adana,18.84
Adana,18.54
Adana,19.07
Adana,19.31
Adana,19.66
Adana,18.88
Adana,19.40
Adana,18.43
Adana,18.45
Adana,18.89
Adana,19.13
Adana,19.27
Adana,18.77
Adana,18.84
Adana,19.23
Adana,19.22
Adana,18.94
Adana,17.68
Adana,18.82
Adana,19.76
Adana,19.15
Adana,19.47
Adana,18.65
Adana,19.92
Adana,20.02
Adana,19.33
Adana,20.09
Adana,19.54
Adana,19.57
Adana,19.48
Adana,19.44
Adana,19.44
Adana,19.82
Adana,19.92
Adana,19.94
Adana,21.02
Adana,19.36
Adana,19.92
Adana,20.22
Adelaide,15.54
Adelaide,15.61
Adelaide,15.89
Adelaide,15.26
Adelaide,15.62
Adelaide,16.12
Adelaide,15.62
Adelaide,15.31
Adelaide,15.19
Adelaide,15.68
Adelaide,15.65
Adelaide,15.45
Adelaide,15.33
Adelaide,15.61
Adelaide,13.85
Adelaide,15.83
Adelaide,15.64
Adelaide,16.04
Adelaide,15.66
Adelaide,16.27
Adelaide,15.91
Adelaide,16.43
Adelaide,15.92
Adelaide,15.60
Adelaide,15.55
Adelaide,16.05
Adelaide,16.13
Adelaide,16.04
Adelaide,15.96
Adelaide,16.09
Adelaide,16.47
Adelaide,15.91
Adelaide,15.71
Adelaide,15.41
Adelaide,15.48
Adelaide,15.49
Adelaide,15.87
Adelaide,16.41
Adelaide,15.81
Adelaide,16.22
Adelaide,15.67
Adelaide,16.11
Adelaide,15.85
Adelaide,15.76
Adelaide,15.87
Adelaide,15.91
Adelaide,15.83
Adelaide,16.41
Adelaide,16.15
Adelaide,16.08
Adelaide,15.51
Adelaide,15.56
Adelaide,15.71
Adelaide,15.76
Adelaide,16.16
Adelaide,16.02
Adelaide,16.08
Adelaide,16.34
Adelaide,15.89
Adelaide,15.66
Adelaide,16.20
Adelaide,16.15
Adelaide,15.59
Adelaide,15.75
Adelaide,15.13
Adelaide,16.38
Adelaide,15.55
Adelaide,16.04
Adelaide,15.04
Adelaide,16.06
Adelaide,15.99
Adelaide,16.21
Adelaide,15.95
Adelaide,17.09
Adelaide,16.01
Adelaide,15.42
Adelaide,15.41
Adelaide,16.15
Adelaide,16.53
Adelaide,15.81
Adelaide,16.77
Adelaide,15.85
Adelaide,16.09
Adelaide,15.05
Adelaide,15.73
Adelaide,15.93
Adelaide,15.77
Adelaide,16.05
Adelaide,15.34
Adelaide,16.61
Adelaide,15.43
Adelaide,15.63
Adelaide,15.56
Adelaide,16.44
Adelaide,15.81
Adelaide,15.86
Adelaide,16.09
Adelaide,16.17
Adelaide,16.22
Adelaide,15.99
Adelaide,15.94
Adelaide,16.30
Adelaide,15.31
Adelaide,15.83
Adelaide,15.72
Adelaide,15.43
Adelaide,16.13
Adelaide,15.61
Adelaide,15.19
Adelaide,16.19
Adelaide,16.31
Adelaide,15.22
Adelaide,15.95
Adelaide,15.82
Adelaide,15.97
Adelaide,15.55
Adelaide,15.95
Adelaide,15.55
Adelaide,16.42
Adelaide,15.58
Adelaide,16.81
Adelaide,16.30
Adelaide,16.26
Adelaide,15.50
Adelaide,16.40
Adelaide,15.87
Adelaide,16.35
Adelaide,16.12
Adelaide,15.82
Adelaide,15.67
Adelaide,16.09
Adelaide,16.30
Adelaide,16.71
Adelaide,16.25
Adelaide,16.50
Adelaide,15.97
Adelaide,16.47
Adelaide,15.89
Adelaide,16.53
Adelaide,16.81
Adelaide,16.73
Adelaide,16.83
Adelaide,16.42
